OTU	Mix2	Mix4	Mix5	Mix6	Mix8
seq4356	0	0	0	2	0
seq4357	0	0	0	2	0
seq4359	0	1	0	1	0
seq436	2	0	0	0	0
seq4368	0	0	0	1	1
seq437	2	1	0	0	0
seq4371	0	0	0	1	1
seq4376	0	0	0	1	2
seq4377	0	0	0	2	0
seq4379	0	0	0	2	0
seq4380	0	0	0	1	1
seq4382	0	1	0	1	1
seq4389	0	0	0	2	1
seq4390	0	0	0	1	1
seq4396	0	0	0	1	1
seq4408	0	0	0	2	0
seq441	2	0	0	0	0
seq4411	0	2	0	1	0
seq4412	0	1	0	2	0
seq4415	0	0	0	2	0
seq4416	0	1	0	1	0
seq4417	0	0	0	2	0
seq4419	0	0	0	3	1
seq442	6	0	0	1	0
seq4428	0	0	0	1	1
seq4435	0	0	0	3	2
seq4438	0	1	0	1	0
seq4440	0	1	0	1	1
seq4442	0	0	0	2	1
seq4447	0	0	0	2	0
seq4449	0	0	0	2	0
seq445	3	1	0	0	1
seq4460	0	0	0	1	4
seq4468	0	0	0	2	0
seq448	2	0	0	0	0
seq4485	0	0	0	2	0
seq449	5	0	1	0	0
seq45	13	16	4	0	5
seq4506	0	1	0	1	0
seq451	2	1	0	1	0
seq4511	0	1	0	1	0
seq4512	0	0	0	2	0
seq4513	0	0	0	1	1
seq4519	0	1	0	1	0
seq452	3	0	0	0	0
seq4523	0	2	0	1	1
seq4526	0	0	0	1	2
seq4527	0	0	0	3	0
seq4529	0	0	0	5	1
seq4540	0	0	0	2	0
seq4542	0	0	0	2	0
seq4544	0	0	0	1	1
seq4548	0	0	0	2	0
seq4555	0	0	0	1	2
seq456	2	2	0	1	0
seq4560	0	1	0	1	0
seq4562	0	0	0	1	1
seq4565	0	0	0	2	1
seq4566	0	1	0	1	0
seq457	2	0	0	0	0
seq4572	0	1	0	1	0
seq4578	0	3	0	1	0
seq4588	0	0	0	2	0
seq4597	0	0	0	1	3
seq4608	0	0	0	3	0
seq461	1	0	0	1	0
seq4618	0	1	0	1	0
seq462	2	1	0	0	0
seq4621	0	0	0	1	1
seq4633	0	0	0	2	1
seq4639	0	0	0	1	1
seq4644	0	1	0	1	0
seq4646	0	0	0	1	1
seq4649	0	0	0	1	1
seq465	1	0	0	0	3
seq4652	0	1	0	1	0
seq4656	0	1	0	1	0
seq4658	0	0	0	1	1
seq4665	0	0	0	2	0
seq467	2	2	0	0	0
seq4683	0	0	0	1	1
seq4687	0	0	0	2	0
seq4688	0	1	0	1	0
seq4693	0	2	0	1	0
seq47	1	1	0	0	0
seq4703	0	0	0	2	0
seq4710	0	0	0	2	0
seq4718	0	0	0	1	1
seq4720	0	1	0	1	0
seq4724	0	0	0	2	4
seq4726	0	0	0	1	1
seq473	1	1	0	1	0
seq4735	0	0	0	1	1
seq4747	0	0	0	1	4
seq475	2	0	0	0	0
seq4751	0	0	0	2	0
seq4768	0	1	0	1	0
seq4774	0	1	0	1	0
seq4775	0	2	0	1	0
seq478	1	0	1	0	0
seq480	1	1	0	1	0
seq4801	0	0	0	1	1
seq4808	0	1	0	1	0
seq4809	0	0	0	2	0
seq4817	0	2	0	1	0
seq4829	0	1	0	1	0
seq4834	0	2	0	1	0
seq4837	0	0	0	1	1
seq484	1	2	0	0	0
seq4841	0	0	0	1	1
seq4843	0	0	0	2	0
seq4850	0	0	0	1	1
seq4851	0	1	0	1	0
seq4852	0	0	0	2	1
seq4856	0	0	0	1	1
seq4866	0	0	0	1	1
seq4870	0	0	0	2	3
seq4873	0	0	0	1	1
seq4883	0	1	0	1	0
seq4897	0	0	0	2	0
seq4900	0	0	0	2	0
seq4901	0	0	0	1	1
seq4905	0	0	0	1	2
seq491	11	6	1	2	0
seq4911	0	0	0	1	1
seq4923	0	4	0	1	0
seq4924	0	0	0	1	2
seq493	1	1	0	0	0
seq4934	0	0	0	2	0
seq4935	0	0	0	1	1
seq494	3	2	0	0	0
seq4942	0	0	0	1	1
seq4944	0	1	0	1	0
seq4954	0	0	0	1	2
seq496	5	0	1	0	0
seq4969	0	1	0	2	0
seq498	1	1	0	0	0
seq499	1	0	1	0	0
seq50	3	0	0	0	0
seq5003	0	0	0	1	1
seq5005	0	0	0	1	1
seq501	1	1	0	0	0
seq5010	0	1	0	1	0
seq5027	0	0	0	3	4
seq504	1	0	1	0	0
seq5040	0	0	0	2	0
seq5043	0	0	0	1	1
seq5059	0	1	0	1	0
seq5073	0	0	0	1	1
seq508	1	1	0	0	0
seq5091	0	1	0	1	0
seq510	1	1	1	0	0
seq5106	0	0	0	1	1
seq5115	0	1	0	1	1
seq5125	0	1	0	1	0
seq5140	0	0	0	1	1
seq5146	0	0	0	1	1
seq5152	0	1	0	1	0
seq5167	0	1	0	1	0
seq517	2	0	0	0	0
seq5181	0	1	0	1	0
seq5188	0	0	0	1	1
seq5196	0	0	0	1	1
seq520	1	1	0	0	0
seq5200	0	0	0	1	1
seq5205	0	0	0	1	1
seq521	2	3	0	1	2
seq5216	0	0	0	1	1
seq5219	0	0	0	2	0
seq522	2	0	0	0	0
seq5226	0	1	0	1	0
seq5227	0	0	0	2	0
seq5231	0	1	0	1	0
seq525	1	1	1	0	1
seq5256	0	0	0	1	1
seq5263	0	0	0	1	1
seq5274	0	1	0	1	0
seq5279	0	0	0	1	1
seq5283	0	1	0	1	0
seq5286	0	0	0	1	1
seq529	1	3	0	0	0
seq530	2	0	1	0	0
seq5328	0	1	0	1	0
seq5332	0	0	0	1	2
seq5333	0	1	0	1	0
seq5334	0	0	0	1	1
seq5337	0	1	0	1	0
seq5344	0	1	0	1	0
seq5350	0	0	0	2	0
seq5377	0	0	0	1	1
seq54	1	1	0	1	0
seq540	1	0	0	0	1
seq5415	0	1	0	0	1
seq5416	0	2	0	0	0
seq5417	0	2	0	0	0
seq5421	0	2	0	0	0
seq5422	0	2	0	0	0
seq5424	0	3	0	0	1
seq5426	0	2	0	0	1
seq544	1	0	0	0	1
seq5446	0	2	0	0	0
seq545	1	1	0	0	1
seq5454	0	2	0	0	0
seq546	1	1	0	0	0
seq5470	0	1	0	0	1
seq5478	0	2	0	0	0
seq5479	0	3	0	0	1
seq5494	0	2	0	0	0
seq5495	0	2	0	0	0
seq5505	0	2	0	0	1
seq5508	0	1	0	0	1
seq5514	0	2	0	0	0
seq552	1	2	0	0	0
seq5546	0	2	0	0	0
seq555	1	3	0	0	0
seq5556	0	1	0	0	1
seq5563	0	2	0	0	0
seq5564	0	3	0	0	0
seq5568	0	2	0	0	0
seq557	2	0	0	0	0
seq5570	0	2	0	0	0
seq5575	0	4	0	0	0
seq5576	0	2	0	0	0
seq5584	0	3	0	0	0
seq5588	0	3	0	0	1
seq560	3	0	1	2	0
seq5601	0	2	0	0	0
seq5605	0	2	0	0	0
seq5607	0	3	0	0	0
seq5615	0	2	0	0	0
seq562	2	1	0	0	0
seq5626	0	1	0	0	2
seq5627	0	2	0	0	1
seq5634	0	2	0	0	0
seq564	3	1	0	0	0
seq5640	0	2	0	0	0
seq5643	0	1	0	0	1
seq565	3	1	0	0	1
seq566	1	0	0	0	1
seq5665	0	5	0	0	2
seq5673	0	1	0	0	1
seq5674	0	3	0	0	0
seq5679	0	1	0	0	1
seq570	2	1	1	0	1
seq573	1	2	0	0	0
seq5730	0	2	0	0	0
seq5738	0	5	0	0	0
seq5741	0	1	0	0	2
seq5748	0	2	0	0	0
seq5753	0	2	0	0	0
seq5764	0	2	0	0	0
seq5765	0	2	0	0	0
seq5768	0	1	0	0	1
seq578	2	1	0	0	1
seq5780	0	1	0	0	1
seq5786	0	4	0	0	0
seq5804	0	3	0	0	0
seq5808	0	2	0	0	0
seq5810	0	1	0	0	1
seq5812	0	3	0	0	0
seq5817	0	1	0	0	2
seq5821	0	1	0	0	1
seq583	2	2	1	3	0
seq584	1	1	0	0	0
seq5845	0	2	0	0	0
seq5851	0	2	0	0	0
seq5856	0	2	0	0	0
seq5869	0	1	0	0	1
seq5879	0	2	0	0	1
seq5892	0	2	0	0	0
seq5894	0	2	0	0	0
seq5909	0	3	0	0	1
seq5921	0	3	0	0	0
seq5924	0	2	0	0	0
seq5927	0	2	0	0	0
seq5931	0	2	0	0	0
seq5934	0	2	0	0	0
seq5947	0	2	0	0	0
seq5959	0	2	0	0	0
seq596	3	0	1	1	0
seq5961	0	2	0	0	0
seq5963	0	3	0	0	0
seq597	1	0	0	1	0
seq5971	0	2	0	0	0
seq599	2	0	1	0	0
seq5995	0	2	0	0	0
seq60	4	0	0	0	1
seq600	1	1	0	0	1
seq6002	0	2	0	0	0
seq6008	0	2	0	0	0
seq6019	0	2	0	0	0
seq603	2	0	0	0	0
seq6031	0	2	0	0	0
seq6035	0	6	0	0	0
seq604	2	0	1	0	0
seq6049	0	2	0	0	0
seq6073	0	2	0	0	0
seq6075	0	3	0	0	0
seq6079	0	3	0	0	0
seq6084	0	2	0	0	0
seq6086	0	2	0	0	0
seq6096	0	2	0	0	1
seq61	2	1	0	0	0
seq6115	0	2	0	0	0
seq6117	0	1	0	0	1
seq6129	0	1	0	0	1
seq6133	0	2	0	0	0
seq6138	0	1	0	0	1
seq614	2	0	0	0	0
seq6145	0	2	0	0	0
seq6146	0	2	0	0	0
seq6151	0	1	0	0	1
seq6163	0	2	0	0	0
seq6179	0	3	0	0	0
seq620	1	0	2	0	0
seq6204	0	2	0	0	0
seq621	5	2	1	0	0
seq6218	0	1	0	0	1
seq622	3	0	3	0	1
seq6224	0	2	0	0	0
seq6230	0	3	0	0	0
seq624	1	1	0	0	0
seq6242	0	1	0	0	2
seq6245	0	2	0	0	0
seq626	1	1	0	0	0
seq6261	0	2	0	0	0
seq6275	0	2	0	0	0
seq628	2	1	1	1	0
seq6310	0	2	0	0	0
seq6316	0	2	0	0	0
seq6319	0	2	0	0	0
seq632	1	1	0	0	0
seq6322	0	2	0	0	0
seq6324	0	3	0	0	0
seq6329	0	2	0	0	0
seq6332	0	1	0	0	1
seq6333	0	2	0	0	0
seq6342	0	2	0	0	0
seq635	1	0	1	1	0
seq6356	0	2	0	0	0
seq636	1	1	0	0	0
seq637	2	0	0	0	0
seq6380	0	3	0	0	0
seq6384	0	3	0	0	0
seq6385	0	3	0	0	1
seq6386	0	2	0	0	0
seq6401	0	1	0	0	1
seq641	2	2	0	0	1
seq6412	0	2	0	0	0
seq6414	0	3	0	0	0
seq6418	0	2	0	0	0
seq645	2	0	0	0	0
seq6451	0	3	0	0	0
seq6453	0	2	0	0	0
seq6461	0	2	0	0	0
seq6464	0	2	0	0	0
seq65	5	2	0	0	0
seq650	1	2	0	0	0
seq6524	0	1	0	0	1
seq6537	0	2	0	0	2
seq6550	0	2	0	0	0
seq656	3	0	1	0	0
seq6566	0	2	0	0	0
seq657	1	2	0	0	0
seq659	1	0	1	0	1
seq6595	0	2	0	0	0
seq66	1	1	0	0	0
seq660	1	1	1	0	0
seq6612	0	2	0	0	1
seq664	2	0	0	0	0
seq665	3	1	0	0	0
seq666	1	1	0	0	0
seq6669	0	2	0	0	0
seq667	1	0	0	1	0
seq6671	0	1	0	0	1
seq670	3	0	1	0	0
seq6700	0	2	0	0	0
seq672	1	1	0	0	0
seq6722	0	3	0	0	0
seq6733	0	1	0	0	1
seq6746	0	2	0	0	0
seq675	1	1	0	0	0
seq676	1	0	0	1	0
seq6770	0	1	0	0	1
seq678	2	0	1	0	0
seq6784	0	3	0	0	1
seq681	1	2	0	0	1
seq6811	0	3	0	0	0
seq684	3	0	0	0	0
seq6842	0	2	0	0	0
seq6843	0	1	0	0	2
seq6850	0	2	0	0	0
seq6860	0	2	0	0	0
seq687	3	0	0	0	0
seq6876	0	2	0	0	0
seq6878	0	1	0	0	1
seq688	2	2	1	0	1
seq6892	0	1	0	0	1
seq6907	0	1	0	0	1
seq691	5	2	0	1	0
seq692	2	0	0	0	0
seq6925	0	1	0	0	1
seq694	2	0	0	0	0
seq696	3	2	1	0	0
seq698	2	0	0	0	0
seq6992	0	1	0	0	1
seq7	3	2	0	0	1
seq702	2	1	0	0	0
seq703	3	1	0	0	0
seq7041	0	1	0	0	1
seq7051	0	2	0	0	0
seq706	1	0	1	1	0
seq707	4	2	0	0	1
seq7080	0	2	0	0	0
seq709	1	1	0	0	0
seq7091	0	1	0	0	1
seq7177	0	1	0	0	1
seq7180	0	1	0	0	1
seq7182	0	1	0	0	1
seq7185	0	2	0	0	0
seq7195	0	2	0	0	0
seq72	16	6	3	2	5
seq7238	0	2	0	0	1
seq724	1	1	0	1	1
seq7245	0	3	0	0	0
seq7265	0	2	0	0	1
seq7269	0	2	0	0	0
seq727	3	0	0	0	0
seq728	2	0	0	1	0
seq7286	0	1	0	0	1
seq7289	0	1	0	0	1
seq729	2	0	0	0	0
seq7306	0	2	0	0	1
seq731	1	1	0	1	0
seq733	2	3	0	0	0
seq7353	0	1	0	0	1
seq74	6	2	1	1	1
seq741	1	0	1	1	0
seq7413	0	2	0	0	1
seq743	2	0	0	0	0
seq744	1	1	0	1	0
seq745	1	2	1	0	0
seq7473	0	2	0	0	0
seq748	1	2	0	1	1
seq75	1	1	0	0	0
seq753	2	0	0	0	1
seq756	2	0	0	0	0
seq7564	0	0	0	0	55
seq757	2	1	0	0	0
seq7572	0	0	0	0	10
seq7581	0	0	0	0	2
seq759	3	0	0	0	1
seq7598	0	0	0	0	25
seq76	1	0	0	1	0
seq7608	0	0	0	0	2
seq761	1	1	0	0	0
seq762	1	1	0	0	0
seq7629	0	0	0	0	4
seq7664	0	0	0	0	17
seq7666	0	0	0	0	3
seq7670	0	0	0	0	12
seq7680	0	0	0	0	3
seq7686	0	0	0	0	3
seq7697	0	0	0	0	5
seq77	2	1	0	0	0
seq7702	0	0	0	0	4
seq7713	0	0	0	0	3
seq7718	0	0	0	0	2
seq7719	0	0	0	0	2
seq7730	0	0	0	0	2
seq774	3	0	1	0	0
seq7765	0	0	0	0	2
seq780	1	0	2	0	0
seq781	2	0	0	0	2
seq782	2	2	0	0	0
seq783	1	1	0	0	0
seq7835	0	0	0	0	2
seq784	1	1	0	0	0
seq785	3	3	0	0	0
seq7858	0	0	0	0	4
seq786	1	1	1	0	1
seq787	1	1	0	0	0
seq7873	0	0	0	0	2
seq7874	0	0	0	0	3
seq7889	0	0	0	0	3
seq79	3	0	0	0	0
seq7928	0	0	0	0	2
seq793	1	0	1	1	0
seq795	3	1	0	0	0
seq7988	0	0	0	0	2
seq799	1	0	1	0	0
seq8011	0	0	0	0	2
seq8019	0	0	0	0	2
seq805	1	1	1	0	0
seq806	2	2	1	0	1
seq8066	0	0	0	0	3
seq807	1	1	0	0	0
seq810	2	0	0	0	0
seq8121	0	0	0	0	2
seq8126	0	0	0	0	2
seq815	1	1	0	0	0
seq816	1	1	0	1	0
seq819	1	1	0	0	0
seq820	2	0	0	1	1
seq821	2	0	0	0	0
seq8243	0	0	0	0	2
seq8245	0	0	0	0	2
seq8251	0	0	0	0	2
seq827	2	0	0	0	0
seq8283	0	0	0	0	2
seq8287	0	0	0	0	2
seq83	2	0	0	2	0
seq830	2	1	0	0	1
seq832	2	0	0	0	0
seq8326	0	0	0	0	2
seq833	1	1	0	0	0
seq834	1	0	1	0	0
seq836	2	3	1	1	2
seq8368	0	0	0	0	2
seq837	5	0	0	0	0
seq839	1	1	0	0	0
seq84	1	1	0	0	0
seq841	1	1	0	0	1
seq842	2	1	0	1	0
seq845	2	1	0	0	0
seq847	1	0	1	0	0
seq8470	0	0	0	0	2
seq850	2	0	0	0	0
seq853	4	3	0	0	0
seq858	4	3	1	1	3
seq860	5	0	0	0	0
seq861	2	0	0	0	0
seq863	2	0	0	0	0
seq864	1	1	1	0	2
seq867	1	1	0	0	0
seq868	2	0	0	0	0
seq869	1	1	0	0	0
seq87	1	0	0	0	1
seq871	1	2	3	1	0
seq872	1	1	0	0	2
seq878	2	1	0	1	0
seq880	1	0	0	1	0
seq881	3	0	1	0	0
seq884	3	6	0	0	0
seq885	2	1	1	0	0
seq89	3	0	0	0	0
seq894	1	1	0	0	0
seq895	1	1	1	0	0
seq898	1	0	0	1	2
seq9	947	749	274	162	391
seq90	2	2	1	0	0
seq901	2	0	0	0	0
seq906	1	0	0	0	1
seq907	1	0	0	1	2
seq908	2	1	0	0	1
seq91	10	1	0	1	0
seq913	2	1	0	0	0
seq915	1	3	1	0	0
seq916	1	0	1	0	0
seq917	2	0	0	0	0
seq919	1	0	0	1	0
seq920	1	1	1	0	0
seq924	1	2	0	1	1
seq926	1	1	0	0	0
seq927	1	1	0	0	0
seq928	1	1	0	1	0
seq934	1	0	1	0	0
seq936	2	1	0	0	0
seq943	2	0	0	0	0
seq946	2	0	1	0	0
seq949	2	0	2	0	0
seq952	3	1	0	0	0
seq953	1	3	1	0	0
seq958	1	0	0	1	0
seq959	2	2	0	0	0
seq96	3	0	0	0	0
seq961	2	0	0	0	0
seq962	2	0	0	0	0
seq968	1	0	1	0	1
seq969	1	1	0	0	0
seq97	3	1	2	1	0
seq971	2	2	1	0	0
seq972	2	0	0	0	0
seq973	2	0	0	0	0
seq974	1	1	0	0	0
seq978	2	1	0	0	1
seq979	2	1	0	1	0
seq980	2	0	1	0	0
seq986	2	0	0	0	0
seq99	1	0	1	0	0
seq990	1	1	0	0	0
seq992	1	1	0	0	0
seq994	2	2	0	0	0
seq996	1	3	0	0	0
seq997	1	1	0	0	1
